,symbol,category,product_summary,asset_class,inception_date,minimum_investment,expense_ratio,risk_level
262,VGAVX,Emerging Markets Bond,"This fund is designed to provide exposure to the emerging markets portion of the international bond market. The fund seeks to track the performance of an index that provides exposure to government bonds in emerging economies. Like other bond funds, the fund is subject to interest rate risk; increases in interest rates may cause the price of the bonds in the portfolio to decrease, reducing the fund’s NAV. The fund is also subject to emerging markets risk—bonds of governments located in these countries tend to be more volatile and less liquid than those in developed countries—and other international risks, such as country/regional risk. Because the fund invests only in U.S. dollar-denominated bonds, it does not subject U.S.-based investors to currency risk. Long-term, risk-tolerant investors who want to diversify their bond portfolio may wish to consider this fund.",Taxable Bond,2013-05-31,3000,0.002,Moderate
263,VNQ,Real Estate,"Invests in stocks issued by real estate investment trusts (REITs), companies that purchase office buildings, hotels, and other real property.Goal is to closely track the return of the MSCI US Investable Market Real Estate 25/50 Index.Offers high potential for investment income and some growth; share value rises and falls more sharply than that of funds holding bonds.Appropriate for helping diversify the risks of stocks and bonds in a portfolio.",Domestic Stock - Sector-Specific,2004-09-23,1,0.0012,Moderate to Aggressive
264,VLTCX,Long-Term Bond,"This low-cost index fund invests in U.S. dollar-denominated, investment-grade, fixed-rate, taxable securities issued by industrial, utility, and financial companies, with maturities greater than 10 years. Because long-term bonds tend to be very sensitive to interest-rate changes, one of the fund’s key risks is that increases in interest rates may reduce the price of the bonds in the portfolio, which would reduce the fund’s share price. Investors who are looking for a fund that seeks to provide interest income and are able to tolerate significant price fluctuations may wish to consider this fund.",Long-Term Bond,2010-01-19,3000,0.0007,Moderate
265,VEUSX,Europe Stock,"This index fund provides investors low-cost exposure to the European stock markets. The fund holds more than 1,200 stocks across the European region, which makes up roughly half of the non-U.S. equity marketplace. In addition to stock market risk, the fund is also subject to currency risk and may have a higher degree of country risk than other international funds, since it invests solely in stocks of European countries. Long-term investors seeking exposure to European equities may wish to consider this fund as part of a diversified portfolio.",International/Global Stock,2001-08-13,3000,0.0013,Aggressive
266,VTSAX,Large Blend,"Created in 1992, Vanguard Total Stock Market Index Fund is designed to provide investors with exposure to the entire U.S. equity market, including small-, mid-, and large-cap growth and value stocks. The fund’s key attributes are its low costs, broad diversification, and the potential for tax efficiency. Investors looking for a low-cost way to gain broad exposure to the U.S. stock market who are willing to accept the volatility that comes with stock market investing may wish to consider this fund as either a core equity holding or your only domestic stock fund.",Domestic Stock - General,2000-11-13,3000,0.0004,Moderate to Aggressive
267,VNYTX,Muni New York Long,"The fund’s investment objective is to seek to provide current income that is exempt from both federal and New York personal income taxes. The fund is intended for New York residents only. It invests primarily in high-quality municipal bonds issued by New York state and local governments, as well as by regional government and public financing authorities. Under normal circumstances, at least 80% of the fund’s assets will be invested in securities whose income is exempt from federal and New York state taxes. Although the fund has no limitations on the maturities of individual securities, its dollar-weighted average maturity is expected to be between 10 and 25 years. The fund has an average duration of approximately 6-10 years, making its share price considerably more susceptible to changes in interest rates than shorter-term bond funds. Investors who are looking for a fund that may provide federal and New York state tax-exempt interest income and can tolerate interest rate risk may wish to consider this fund.",Long-Term Bond,1986-04-07,3000,0.0017,Moderate
268,VGSLX,Real Estate,"This fund invests in real estate investment trusts—companies that purchase office buildings, hotels, and other real estate property. REITs have often performed differently than stocks and bonds, so this fund may offer some diversification to a portfolio already made up of stocks and bonds. The fund may distribute dividend income higher than other funds, but it is not without risk. One of the fund’s primary risks is its narrow scope, since it invests solely within the real estate industry and may be more volatile than more broadly diversified stock funds.",Domestic Stock - Sector-Specific,2001-11-12,3000,0.0012,Moderate to Aggressive
269,VGWIX,Conservative Allocation,"This income-oriented balanced fund offers exposure to U.S. and foreign stocks and investment-grade bonds. Balanced funds typically offer a higher allocation to stocks; however, this fund is unique in allocating about one-third to stocks and two-thirds to bonds. Because it invests in U.S. and foreign stocks and investment-grade bonds, the fund is subject to both currency risk and country risk. The fund’s stock holdings are focused on companies that have historically paid a larger-than-average dividend or that have expectations of increasing dividends. This focus may provide a higher quarterly income distribution than non-income-focused balanced funds. Investors with a long-term time horizon who have a goal of steady income and who are willing to accept modest movement in share price may wish to consider this fund.",Global Balanced,2017-11-02,3000,0.0042,Moderate
270,VPKIX,Diversified Pacific/Asia Stock,"This index fund provides investors low-cost exposure to companies in developed countries of the Pacific region. The fund invests in about 2,150 stocks throughout the region, which makes up roughly a quarter of the non-U.S. equity marketplace. In addition to stock market risk, the fund is also subject to currency risk and may have a higher degree of country risk than other international funds, since it invests solely in stocks of countries located in the Pacific region, particularly Japan. Long-term investors seeking exposure to Pacific equities may wish to consider this fund as part of a diversified portfolio.",International/Global Stock,2000-05-15,5000000,0.0008,Aggressive
271,VFVA,Equity,"Note: The Value factor is measured by book value/price, forward earnings/price, operating cash flows/price (for non-financials only).",Domestic Stock - General,2018-02-13,1,0.0013,Aggressive
272,BND,Intermediate-Term Bond,"The fund’s investment objective is to seek to track the performance of a broad, market-weighted bond index. The fund generally:",Intermediate-Term Bond,2007-04-03,1,0.0003,Conservative to Moderate
273,VRGWX,Large Growth,"With respect to 75% of its total assets, the fund may not: (1) purchase more than 10% of the outstanding voting securities of any one issuer or (2) purchase securities of any issuer if, as a result, more than 5% of the fund’s total assets would be invested in that issuer’s securities; except as may be necessary to approximate the composition of its target index. This limitation does not apply to obligations of the U.S. government or its agencies or instrumentalities.",Domestic Stock - General,2010-12-06,5000000,0.0007,Moderate to Aggressive
274,VWUAX,Large Growth,Vanguard’s oldest growth fund focuses on well-known blue-chip companies that tend to hold strong positions in their respective industries. The fund’s investment advisors believe these companies have the ability to deliver positive earnings growth and superior returns over the long term. The fund is typically invested in a portfolio of primarily large-capitalization stocks. Investors with a long-term investment horizon who want exposure to large growth companies may wish to consider this fund.,Domestic Stock - General,2001-08-13,50000,0.0025,Moderate to Aggressive
275,VFAIX,Financial,"This low-cost index fund offers exposure to the financial sector of the U.S. equity market, which includes stocks of banks, insurance companies, and other firms that provide financial services. The fund’s main risk is its narrow scope—it invests solely in financial stocks. An investor should expect high volatility from the fund, which should be considered only as a small portion of an already well-diversified portfolio.",Domestic Stock - Sector-Specific,2004-02-04,100000,0.001,Aggressive
276,VICBX,Intermediate-Term Bond,"This low-cost index fund invests in U.S. dollar-denominated, investment-grade, fixed-rate, taxable securities issued by industrial, utility, and financial companies, with maturities between 5 and 10 years. Risks of the fund include the fact that changes in interest rates, both up and down, can affect the fund by resulting in lower bond prices or an eventual decrease in income for the fund. Investors who are looking for a fund that seeks to provide interest income and are able to tolerate moderate price and income fluctuations may wish to consider this fund.",Intermediate-Term Bond,2009-11-19,5000000,0.0005,Conservative to Moderate
277,VEXAX,Mid Blend,"This fund offers investors a low-cost way to gain broad exposure to U.S. mid- and small-capitalization stocks in one fund. The fund invests in about 3,000 stocks, which span many different industries and account for about one-fourth of the market-cap of the U.S. stock market. One of the fund’s risks is its full exposure to the mid- and small-cap markets, which tend to be more volatile than the large-cap market. The fund is considered a complement to Vanguard 500 Index Fund. Together they provide exposure to the entire U.S. equity market.",Domestic Stock - More Aggressive,2000-11-13,3000,0.0006,Aggressive
278,VBR,Small Value,"Seeks to track the performance of the CRSP US Small Cap Value Index, which measures the investment return of small-capitalization value stocks.Provides a convenient way to match the performance of a diversified group of small value companies.Follows a passively managed, full-replication approach.",Domestic Stock - More Aggressive,2004-01-26,1,0.0007,Aggressive
279,VPLS,Intermediate-Term Bond,"This actively managed fund seeks to provide broadly diversified exposure primarily to the U.S. investment-grade bond market, with selective exposure to below-investment-grade bonds and debt from other countries, including emerging markets. The low-cost fund invests in U.S. Treasury, mortgage-backed, and corporate securities, and emerging markets debt of varying yields, maturities, and credit qualities. Using a disciplined, risk-controlled approach, the fund seeks to outperform its benchmark through security selection, sector allocation, and duration decisions. Like other bond funds, the fund is subject to interest rate risk; increases in interest rates may cause the price of the bonds in the portfolio to decrease, reducing the fund’s net asset value. This fund is expected to have a moderate allocation to lower-credit-quality securities, so it is also subject to credit risk; negative perceptions about an issuer’s ability to make its interest or principal payments in a timely manner may cause the price of that bond to decrease. Since the fund invests in all major segments, maturities, and qualities of the fixed income market, investors willing to accept additional risk in their fixed income allocation may consider the fund as a core bond holding.",Intermediate-Term Bond,2023-12-06,1,0.002,Conservative to Moderate
280,VUIAX,Utilities,"This low-cost index fund offers exposure to the utilities sector of the U.S. equity market, which includes stocks of companies that distribute electricity, water, or gas, or that operate as independent power producers. The fund’s main risk is its narrow scope—it invests solely in utilities stocks. An investor should expect high volatility from the fund, which should be considered only as a small portion of an already well-diversified portfolio.",Domestic Stock - Sector-Specific,2004-04-28,100000,0.001,Aggressive
281,VESIX,Europe Stock,"This index fund provides investors low-cost exposure to the European stock markets. The fund holds more than 1,200 stocks across the European region, which makes up roughly half of the non-U.S. equity marketplace. In addition to stock market risk, the fund is also subject to currency risk and may have a higher degree of country risk than other international funds, since it invests solely in stocks of European countries. Long-term investors seeking exposure to European equities may wish to consider this fund as part of a diversified portfolio.",International/Global Stock,2000-05-15,5000000,0.0011,Aggressive
282,VCPIX,Intermediate-Term Bond,"This actively managed fund seeks to provide broadly diversified exposure primarily to the U.S. investment-grade bond market, with selective exposure to below-investment-grade bonds and debt from other countries, including emerging markets. The low-cost fund invests in U.S. Treasury, mortgage-backed, and corporate securities, and emerging markets debt of varying yields, maturities, and credit qualities. Using a disciplined, risk-controlled approach, the fund seeks to outperform its benchmark through security selection, sector allocation, and duration decisions. Like other bond funds, the fund is subject to interest rate risk; increases in interest rates may cause the price of the bonds in the portfolio to decrease, reducing the fund’s net asset value. This fund is expected to have a moderate allocation to lower-credit-quality securities, so it is also subject to credit risk; negative perceptions about an issuer’s ability to make its interest or principal payments in a timely manner may cause the price of that bond to decrease. Since the fund invests in all major segments, maturities, and qualities of the fixed income market, investors willing to accept additional risk in their fixed income allocation may consider the fund as a core bond holding.",Intermediate-Term Bond,2021-10-25,3000,0.003,Conservative to Moderate
283,VGCIX,World Bond,"This fund seeks to provide a moderate and sustainable level of current income by investing in a diversified portfolio of global credit bonds. The fund is actively managed and invests primarily in investment-grade corporate and non-corporate obligations, excluding government-guaranteed issues. The portfolio invests in U.S. and non-U.S. securities including developed and emerging markets. The majority of non-U.S. exposure will be hedged to the U.S. dollar. This hedging enables investors to pursue a globally-diversified credit premium without adding currency risk. Like other bond funds, the fund is subject to interest rate risk; increases in interest rates may lead the price of the bonds in the portfolio to decrease, reducing the fund’s NAV. The fund is also subject to emerging markets risk—bonds in these countries tend to be more volatile and less liquid than those in developed countries—and other international risks, such as country/regional risk. Long-term, risk-tolerant investors who want to diversify their bond portfolio may wish to consider this fund.",Taxable Bond,2018-11-15,3000,0.0035,Conservative to Moderate
284,VGHAX,Health,"For more than 25 years, this actively managed fund has offered investors low-cost exposure to domestic and foreign companies involved in various aspects of the health care industry, such as pharmaceutical firms, medical supply companies, and research firms. The fund tends to be more geographically diverse and exhibit lower turnover than other health care funds. Still, one risk to note is the fund’s narrow scope, investing solely within the health care sector. Returns may vary widely from year to year, so this fund should be considered complementary to a diversified portfolio with a long-term time horizon.",Domestic Stock - Sector-Specific,2001-11-12,50000,0.0029,Aggressive
285,VBK,Small Growth,"Seeks to track the performance of the CRSP US Small Cap Growth Index, which measures the investment return of small-capitalization growth stocks.Provides a convenient way to match the performance of a diversified group of small growth companies.Follows a passively managed, full-replication approach.",Domestic Stock - More Aggressive,2004-01-26,1,0.0007,Aggressive
286,VGHCX,Health,"For more than 25 years, this actively managed fund has offered investors low-cost exposure to domestic and foreign companies involved in various aspects of the health care industry, such as pharmaceutical firms, medical supply companies, and research firms. The fund tends to be more geographically diverse and exhibit lower turnover than other health care funds. Still, one risk to note is the fund’s narrow scope, investing solely within the health care sector. Returns may vary widely from year to year, so this fund should be considered complementary to a diversified portfolio with a long-term time horizon.",Domestic Stock - Sector-Specific,1984-05-23,3000,0.0034,Aggressive
287,VFIUX,Intermediate Government,"This fund at a minimum invests 80% of the assets in debt issued directly by the government in the form of Treasury bills, notes or bonds (including inflation-protected securities) and may invest in other securities including, but not limited to debt issued by federal agencies that are sponsored, guaranteed, or owned by the federal government. A key risk of the fund is the fact that changes in interest rates, both up and down, can affect the fund by resulting in lower bond prices or an eventual decrease in income for the fund. Investors who are looking for a fund that seeks to provide interest income and are able to tolerate moderate price and income fluctuations may wish to consider this fund.",Intermediate-Term Bond,2001-02-12,50000,0.001,Conservative to Moderate
288,VLGIX,Long Government,"This fund employs an indexing investment approach designed to track the performance of the Bloomberg U.S. Long Treasury Bond Index. This Index includes fixed income securities issued by the U.S. Treasury (not including inflation protected bonds), with maturities greater than 10 years. Because long-term bonds tend to be very sensitive to interest-rate changes, one of the fund’s key risks is that increases in interest rates may reduce the price of the bonds in the portfolio, which would reduce the fund’s share price. Investors who are looking for a fund that seeks to provide interest income and are able to tolerate significant interest rate risk may wish to consider this fund.",Long-Term Bond,2010-07-30,5000000,0.0005,Moderate
289,VEU,Foreign Large Blend,"Seeks to track the performance of the FTSE All-World ex US Index.Provides a convenient way to get broad exposure across developed and emerging non-U.S. equity markets around the world.Passively managed, using index sampling.",International/Global Stock,2007-03-02,1,0.0008,Aggressive
290,VSPGX,Large Growth,"The fund may not purchase securities of any issuer if, as a result, more than 5% of the fund’s total assets would be invested in that issuer’s securities; except as may be necessary to approximate the composition of its target index. This limitation does not apply to obligations of the U.S. government or its agencies or instrumentalities.",Domestic Stock - General,2019-04-05,5000000,0.0008,Moderate to Aggressive
291,VSTBX,Short-Term Bond,"This low-cost index fund invests in U.S. dollar-denominated, investment-grade, fixed-rate, taxable bonds issued by industrial, utility, and financial companies, with maturities between 1 and 5 years. Like other bond funds, one of the fund’s risks is that increases in interest rates cause the prices of the bonds in the portfolio to decrease; however, such risk is less pronounced in this fund than in funds with longer average durations. A key risk of the fund is the fact that changes in interest rates can eventually lead to a decrease in income for the fund. Investors with a short-term savings goal who are willing to accept some price movement may wish to consider this fund.",Short-Term Bond,2009-11-19,5000000,0.0005,Conservative
292,BIV,Intermediate-Term Bond,"Seeks to track the investment return of the Bloomberg U.S. 5–10 Year Government/Credit Float Adjusted Index, a market-weighted bond index that covers investment-grade bonds with a dollar-weighted average maturity of 5 to 10 years.  Invests in U.S. government high-quality (investment grade) corporate and investment-grade international dollar-denominated bonds.  Passively managed, using index sampling. ",Intermediate-Term Bond,2007-04-03,1,0.0004,Conservative to Moderate
293,VWOB,Emerging Markets Bond,"Attempts to track the performance of Bloomberg USD Emerging Markets Government RIC Capped Index.Provides a convenient way to get additional exposure to emerging market government bonds.Maintains a dollar-weighted average maturity consistent with that of the index.Passively managed, using index sampling.",Taxable Bond,2013-05-31,1,0.002,Moderate
294,VMBS,Intermediate Government,"Seeks to provide a moderate and sustainable level of current income.Invests primarily in U.S. agency mortgage-backed pass-through securities issued by Ginnie Mae (GNMA), Fannie Mae (FNMA), and Freddie Mac (FHLMC).Moderate interest rate risk, with a dollar-weighted average maturity of 3 to 10 years.",Intermediate-Term Bond,2009-11-19,1,0.0004,Conservative to Moderate
295,VIVIX,Large Value,"This fund invests in stocks of large U.S. companies in market sectors that tend to grow at a slower pace than the broad market; these stocks may be temporarily undervalued by investors. This low-cost index fund follows a buy-and-hold approach, and invests in substantially all of the stocks contained within its broad benchmark. In addition to general stock market volatility, the fund’s primary risk comes from the fact that at times its focus on large-capitalization value stocks may underperform the broader stock market.",Domestic Stock - General,1998-07-02,5000000,0.0004,Moderate to Aggressive
296,VSMPX,Large Blend,"Created in 1992, Vanguard Total Stock Market Index Fund is designed to provide investors with exposure to the entire U.S. equity market, including small-, mid-, and large-cap growth and value stocks. The fund’s key attributes are its low costs, broad diversification, and the potential for tax efficiency. Investors looking for a low-cost way to gain broad exposure to the U.S. stock market who are willing to accept the volatility that comes with stock market investing may wish to consider this fund as either a core equity holding or your only domestic stock fund.",Domestic Stock - General,2015-04-28,100000000,0.0002,Moderate to Aggressive
297,VGSNX,Real Estate,"This fund invests in real estate investment trusts—companies that purchase office buildings, hotels, and other real estate property. REITs have often performed differently than stocks and bonds, so this fund may offer some diversification to a portfolio already made up of stocks and bonds. The fund may distribute dividend income higher than other funds, but it is not without risk. One of the fund’s primary risks is its narrow scope, since it invests solely within the real estate industry and may be more volatile than more broadly diversified stock funds.",Domestic Stock - Sector-Specific,2003-12-02,5000000,0.001,Moderate to Aggressive
298,VIPSX,Inflation-Protected Bond,"This fund is designed to protect investors from the eroding effect of inflation by investing primarily in securities that seek to provide a ”real” return. The fund focuses on investments in inflation-protected bonds that are backed by the full faith and credit of the federal government and whose principal is adjusted based on inflation. The fund has moderate to high interest rate risk, meaning that changes in interest rates, both up and down, can affect the fund by resulting in lower bond prices or an eventual decrease in income. In addition to typical movement in bond prices, income can fluctuate more in this fund because payments depend on inflation changes. Investors with a long-term time horizon may wish to consider this fund as a complement to an already diversified fixed income portfolio.",Inflation-Indexed Securities,2000-06-29,3000,0.002,Conservative to Moderate
299,VDIPX,Foreign Large Blend,"This index fund provides investors low-cost, diversified exposure to large-, mid-, and small-capitalization companies in developed markets outside of the United States.",International/Global Stock,2014-04-01,100000000,0.0004,Aggressive
300,VMVAX,Mid Value,"This low-cost index fund offers exposure to mid-capitalization U.S. value stocks. Value stocks are those that may be temporarily undervalued by investors. These companies typically grow at a slower pace than the broader group of mid-sized companies. One of the fund’s key risks is that mid-capitalization stocks tend to be more volatile than large-company stocks. Investors looking to add a passively managed, mid-cap value allocation to an already diversified portfolio may wish to consider this option.",Domestic Stock - More Aggressive,2011-09-27,3000,0.0007,Aggressive
301,VMGMX,Mid Growth,"This low-cost index fund offers exposure to the stocks of mid-capitalization U.S. growth-oriented companies, which tend to grow more quickly than the broader group of medium-sized companies. The fund seeks to track a growth-style index of medium-sized companies, whose stocks tend to be more volatile than large-company stocks. This potential volatility is one of the fund’s key risks. Investors looking to add a passively managed, mid-cap growth allocation to an already diversified portfolio may wish to consider this option.",Domestic Stock - More Aggressive,2011-09-27,3000,0.0007,Aggressive
302,VINIX,Large Blend,"Seeks to track the performance of the Standard & Poor’s 500 Index, which measures the investment return of large-capitalization stocks.  Follows a passively managed, full-replication approach.  Provides a convenient way to match the performance of a substantial portion of the nation’s largest stocks. ",Domestic Stock - General,1990-07-31,5000000,0.00035,Moderate to Aggressive
303,VAIGX,Foreign Large Growth,"The International Growth Fund focuses on non-U.S. companies with high growth potential. The fund employs an aggressive approach that attempts to capitalize on global economic expansion. For example, an attractive investment opportunity could be a non-U.S. consumer-products company that is experiencing rapid earnings growth. Because it invests in non-U.S. stocks, including those in developed and emerging markets, the fund can be more volatile than a domestic fund. Investors may wish to consider investing in this fund as a complement to an already diversified stock portfolio.",International/Global Stock,2021-11-09,0,0.0042,Aggressive
304,VTABX,World Bond,"This fund is designed to provide broad exposure to non-U.S. investment-grade bonds. The fund seeks to track the performance of an index that includes international government, agency, and corporate securities, mostly from developed countries, but also some emerging markets countries. Like other bond funds, the fund is subject to interest rate risk; increases in interest rates may cause the price of the bonds in the portfolio to decrease, reducing the fund’s NAV. Because it invests in non-U.S. bonds, the fund is also subject to additional risks, such as country/regional risk. The fund employs currency hedging strategies to protect against uncertainty in future exchange rates, so investment returns are expected to reflect the underlying performance of international bonds. Long-term investors who want to add an international position to their bond portfolio may wish to consider this fund as an option.",Taxable Bond,2013-05-31,3000,0.0011,Conservative to Moderate
305,VONE,Large Blend,"Invests in stocks in the Russell 1000 Index, a broadly diversified index made up of large U.S. companies.Seeks to closely track the index’s return, which is considered a gauge of large-cap growth U.S. stock returns.Offers high potential for investment growth; share value typically rises and falls more sharply than that of funds holding bonds.More appropriate for long-term goals where your money’s growth is essential.",Domestic Stock - General,2010-09-20,1,0.0008,Moderate to Aggressive
306,VEA,Foreign Large Blend,"Seeks to track the investment performance of the FTSE Developed All Cap ex US Index.Provides a convenient way to match the performance of a diversified group of stocks of large-, mid-, and small-cap companies located in Canada and the major markets of Europe and the Pacific region.Follows a passively managed full-replication approach.",International/Global Stock,2007-07-20,1,0.0005,Aggressive
307,VTMFX,Moderate Allocation,"As part of Vanguard’s series of tax-managed investments, this fund provides exposure to the mid- and large-capitalization segments of the U.S. stock market with about 50% of assets, while the balance of assets are invested in federally tax-exempt municipal bonds. The stock component’s unique index-oriented approach attempts to track its benchmark, while minimizing taxable dividend income. Investors in higher tax brackets who are seeking some growth of principal and who are able to tolerate the risks that come from the volatility of the stock and bond markets may wish to consider this fund.",Balanced,1994-09-06,10000,0.0009,Moderate
308,VMGRX,Mid Growth,"This actively managed, mid-capitalization option invests primarily in the stocks of mid-size domestic companies that the fund’s investment managers believe have stronger earnings and revenue growth prospects than the average mid-cap company. Investors who are seeking exposure to the mid-cap arena of the U.S. stock market and who are willing to endure the volatility that can come from an investment in stocks may wish to consider this fund as an option for their portfolio.",Domestic Stock - More Aggressive,1997-12-31,3000,0.0035,Aggressive
309,VOO,Large Blend,"Invests in stocks in the S&P 500 Index, representing 500 of the largest U.S. companies.Goal is to closely track the index’s return, which is considered a gauge of overall U.S. stock returns.Offers high potential for investment growth; share value rises and falls more sharply than that of funds holding bonds.More appropriate for long-term goals where your money’s growth is essential.",Domestic Stock - General,2010-09-07,1,0.0003,Moderate to Aggressive
310,VSGNX,Small Growth,"Invests in stocks in the S&P Small-Cap 600 Growth Index, composed of the growth companies in the S&P 600.Focuses on closely tracking the index’s return, which is considered a gauge of overall U.S. small-cap growth stock returns.Offers high potential for investment growth; share value rises and falls more sharply than that of funds holding bonds.More appropriate for long-term goals where your money’s growth is essential.",Domestic Stock - More Aggressive,2010-09-09,5000000,0.0008,Aggressive
311,VGENX,Equity Energy,"This actively managed fund offers investors low-cost exposure to U.S. and non-U.S. companies that are principally engaged in energy-related activities, such as production and transmission of energy or energy fuels, the making of component products for such activities, energy research, and energy conservation or pollution control. In addition, the fund may be invested up to 100% in foreign securities, which can be more volatile than domestic holdings. Returns may vary widely from year-to-year, so this fund may be considered complementary to a diversified portfolio with a long-term time horizon.",Domestic Stock - Sector-Specific,1984-05-23,3000,0.0046,Aggressive
312,VHGEX,World Stock,"This fund invests in companies of various sizes from all over the globe, with the United States representing about 50% of its assets. The portfolio is made up of 500-plus stocks from more than 30 countries. The fund’s multi-manager approach—the fund uses two investment advisors that follow distinct investment approaches—can add additional diversification. In addition to stock market risk, however, the fund is also subject to currency risk and country risk. Long-term investors seeking global equity exposure and who are comfortable with the added volatility in international investing may wish to consider this fund.",International/Global Stock,1995-08-14,3000,0.0041,Aggressive
313,ESGV,Large Blend,"Important note: The index excludes the stocks of companies that FTSE determines engage in, have a specified level of involvement in, and/or derive threshold amounts of revenue from one or more of the following activities: (i) produce adult entertainment; own/operate adult entertainment establishments; distribute adult entertainment materials; (ii) manufacture alcoholic beverages; supply alcohol-related products/services to alcoholic beverage manufacturers; involved in distribution and/or retail sale of alcoholic beverages; (iii) manufacture tobacco products; supply tobacco related products/services; involved in distribution and/or retail sale of tobacco products; (iv) engage in cannabis cultivation, cannabis distribution, the processing and distribution of cannabis plants, and the creation of cannabis derivative products per the Industry Classification Benchmark (ICB) standards; (v) own and/or operate a gambling establishment; manufacture specialized equipment used exclusively for gambling; provide supporting products/services to gambling operations; (vi) produce chemical or biological weapons and their components; (vii) produce (or produce specific and critical parts or services for) cluster munitions; (viii) produce (or produce specific and critical parts or services for) anti-personnel mines; (ix) produce nuclear weapons or their components; (x) manufacture military weapons systems and/or integral, tailor-made components of these weapons; provide tailor-made products and/or services that support military weapons; provide non-weapons related tailor-made products and/or services related to the military or defense industry; (xi) produce and sell assault weapons or small arms to civilian customers; produce and sell key components of small arms; involved in the retail and/or distribution of assault weapons or small arms; (xii) involved in the operation and supply of nuclear power generation, that harnesses the energy present within atomic nuclei or their components; engaged in the development, processing, production and distribution of equipment and facilities that are specifically designed for and critical to the generation of nuclear power; (xiii) own proved or probable reserves in coal, oil, or gas; (xiv) any company that FTSE determines per the ICB standards: (a) engages in the exploration for and drilling, production, and supply of crude oil on land or in offshore areas; (b) primarily engages in the refining and marketing of petroleum products; (c) supplies equipment and services to oil fields and offshore platforms; (d) operates pipelines carrying oil, gas or other forms of fuel; (e) engages in all three fields of petroleum production: extraction (upstream), transportation (midstream), and refining and marketing (downstream); or (f) mines, processes and markets coal per the ICB standards; and (xv) generate electricity from oil and/or gas, or thermal coal. The level or type of involvement in, or amount of revenue earned from, certain activities or business segments that lead to exclusion by FTSE can vary from one activity or business segment to another. The index methodology also excludes the stocks of companies that, as FTSE determines based on its internal assessment, do not meet certain labor, human rights, environmental, and anti-corruption standards as defined by the United Nations Global Compact Principles, as well as companies that fail to meet two of the following three diversity criteria: (1) at least one woman on the board; (2) diversity policies in place; and (3) diversity management systems in place. FTSE uses internal methodologies to analyze various factors in determining whether a company meets the foregoing criteria and/or falls within a particular industry, including whether the company has a certain amount of revenue derived from an industry, the company’s level of involvement in an industry, and the severity of certain controversies (as determined by FTSE), which can vary from one company to another and from one activity to another. For more information, see United Nations Global Compact, 2020. The Ten Principles of the UN Global Compact. Accessed December 2, 2020, at unglobalcompact.org/what-is-gc/mission/principles.",Domestic Stock - General,2018-09-18,1,0.0009,Moderate to Aggressive
314,VASGX,Moderate Allocation,"The LifeStrategy Funds are a series of broadly diversified, low-cost funds with an all-index, fixed allocation approach that may provide a complete portfolio in a single fund. The four funds, each with a different allocation, target various risk-based objectives. The Growth Fund seeks to provide capital appreciation and some current income. The fund holds 80% of its assets in stocks, a portion of which is allocated to international stocks, and 20% in bonds, a portion of which is allocated to international bonds. In addition to stock market risk, the fund is also subject to currency risk and country risks. Investors with a long-term time horizon who are looking for growth of principal over time and who can accept stock market volatility may wish to consider this fund.",Balanced,1994-09-30,3000,0.0014,Moderate to Aggressive
315,VSCPX,Small Blend,"This low-cost index fund provides broad exposure to the small-capitalization U.S. equity market. The fund seeks to track an index of small-sized companies. One of the fund’s primary risks is its focus on the small-cap arena, which is an often-volatile segment of the market. Investors looking to add a small-cap equity allocation to an already diversified portfolio may wish to consider this option.",Domestic Stock - More Aggressive,2010-12-17,100000000,0.0003,Aggressive
316,VMMSX,Diversified Emerging Markets,"This actively managed fund provides exposure primarily to emerging markets outside of the United States at a relatively low cost. Stocks of companies in emerging markets tend to be more volatile than those in developed countries, which could imply the potential for greater long-term returns. Along with this potential, however, comes risks such as currency and political risks. Long-term, risk-tolerant investors who want to diversify their international portfolio may wish to consider this fund.",International/Global Stock,2011-06-27,3000,0.0078,Aggressive
317,VEIPX,Large Value,"This fund is designed to provide investors with an above-average level of current income while offering exposure to the stock market. Since the fund typically invests in companies that are dedicated to consistently paying dividends, it may have a higher yield than other Vanguard stock mutual funds. The fund’s emphasis on slower-growing, higher-yielding companies can also mean that its total return may not be as strong in a significant bull market. This income-focused fund may be appropriate for investors who have a long-term investment goal and a tolerance for stock market volatility.",Domestic Stock - General,1988-03-21,3000,0.0028,Moderate to Aggressive
318,VUSXX,Taxable Money Market,"Vanguard Treasury Money Market Fund, which invests primarily in U.S. Treasury securities, seeks to provide current income and preserve shareholders’ principal investment by maintaining a share price of $1. This fund at a minimum invests 80% of the assets in debt issued directly by the government in the form of Treasury bills and in repurchase agreements fully collateralized by U.S. Treasury securities. As a government money market fund, this fund is required to invest at least 99.5% of its total assets in cash, U.S. government securities, and/or repurchase agreements that are collateralized solely by U.S. government securities or cash (collectively, government securities). As such it is considered one of the most conservative investment options offered by Vanguard. Although the fund invests primarily in short-term U.S. Treasury bills, the amount of income that a shareholder may receive will be largely dependent on the current interest rate environment. Investors who have short-term savings goals and want the added security of investing in a fund in which the majority of the underlying securities are backed by the full faith and credit of the U.S. government may wish to consider this option.Important Note: Income generated from investments in repurchase agreements with the federal reserve are generally subject to state and local income taxes.",Money Market,1992-12-14,3000,0.0009,Conservative
